Título,Resumen,Calificación,Cook Time,Servings,Ingredientes
World's Best Lasagna Recipe (with Video),"This lasagna recipe takes a little work, but it is so satisfying and filling that it's worth it!",4.8,2 hrs 30 mins,12,"[{'cantidad': '1', 'unidad': 'pound', 'nombre': 'sweet Italian sausage'}, {'cantidad': '¾', 'unidad': 'pound', 'nombre': 'lean ground beef'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'minced onion'}, {'cantidad': '2', 'unidad': 'cloves', 'nombre': 'garlic, crushed'}, {'cantidad': '1', 'unidad': '(28 ounce) can', 'nombre': 'crushed tomatoes'}, {'cantidad': '2', 'unidad': '(6.5 ounce) cans', 'nombre': 'canned tomato sauce'}, {'cantidad': '2', 'unidad': '(6 ounce) cans', 'nombre': 'tomato paste'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'water'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'white sugar'}, {'cantidad': '4', 'unidad': 'tablespoons', 'nombre': 'chopped fresh parsley, divided'}, {'cantidad': '1 ½', 'unidad': 'teaspoons', 'nombre': 'dried basil leaves'}, {'cantidad': '1 ½', 'unidad': 'teaspoons', 'nombre': 'salt, divided, or to taste'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'Italian seasoning'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'fennel seeds'}, {'cantidad': '¼', 'unidad': 'teaspoon', 'nombre': 'ground black pepper'}, {'cantidad': '12', 'unidad': '', 'nombre': 'lasagna noodles'}, {'cantidad': '16', 'unidad': 'ounces', 'nombre': 'ricotta cheese'}, {'cantidad': '1', 'unidad': '', 'nombre': 'egg'}, {'cantidad': '¾', 'unidad': 'pound', 'nombre': 'mozzarella cheese, sliced'}, {'cantidad': '¾', 'unidad': 'cup', 'nombre': 'grated Parmesan cheese'}]"
Weeknight Chicken Cordon Bleu Recipe,This is a tasty and quick chicken cordon bleu recipe that is great for a weeknight when you want something yummy and don't have the time. Great over noodles.,4.6,25 mins,6,"[{'cantidad': '1', 'unidad': 'cup', 'nombre': 'milk'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'dry bread crumbs'}, {'cantidad': '6', 'unidad': '', 'nombre': 'skinless, boneless chicken breast halves, pounded to 1/4-inch thickness'}, {'cantidad': '', 'unidad': '', 'nombre': 'salt and pepper, to taste'}, {'cantidad': '6', 'unidad': 'slices', 'nombre': 'cooked ham'}, {'cantidad': '6', 'unidad': 'slices', 'nombre': 'Swiss cheese'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'vegetable oil'}, {'cantidad': '1', 'unidad': '(10 1/2 ounce) can', 'nombre': 'condensed cream of chicken soup'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'heavy cream'}]"
Meatloaf Cupcakes Recipe,These look like a little cupcake with the meat inside of a muffin pan and mashed potato icing. My kids eat these up quickly.,4.8,40 mins,6,"[{'cantidad': '1', 'unidad': 'pound', 'nombre': 'ground beef'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'crushed saltine crackers'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'chopped onion'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'chopped green bell pepper'}, {'cantidad': '⅓', 'unidad': 'cup', 'nombre': 'milk'}, {'cantidad': '1', 'unidad': '', 'nombre': 'egg'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'Worcestershire sauce'}, {'cantidad': '2', 'unidad': 'cloves', 'nombre': 'garlic, chopped'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'ground black pepper'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'seasoned salt'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'ketchup'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'brown sugar'}, {'cantidad': '4', 'unidad': 'cups', 'nombre': 'mashed potatoes'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'shredded Cheddar cheese'}]"
PeepSmoothies Recipe,"PeepSmoothies are the best for a quick, deliciously cool drink. Select your frozen juice and Peeps® carefully to coordinate colors. You can use any frozen juice concentrate.",3.7,Sin tiempo de cocción,3,"[{'cantidad': '8', 'unidad': 'cubes', 'nombre': 'ice cubes'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'milk'}, {'cantidad': '6', 'unidad': 'fluid ounces', 'nombre': 'frozen lemonade concentrate'}, {'cantidad': '¾', 'unidad': 'cup', 'nombre': 'water'}, {'cantidad': '3', 'unidad': '', 'nombre': 'yellow marshmallow chicks (such as Peeps®)'}, {'cantidad': '¼', 'unidad': 'teaspoon', 'nombre': 'vanilla extract'}]"
Green Power Smoothie Recipe,"This tart, satisfying, and delicious green smoothie blends spinach with pineapple, banana, and mint for a refreshing taste similar to a mojito!",4.8,Sin tiempo de cocción,4,"[{'cantidad': '3', 'unidad': 'cups', 'nombre': 'ice cubes, or as desired'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'baby spinach leaves, or to taste'}, {'cantidad': '1', 'unidad': '(7 ounce) can', 'nombre': 'crushed pineapple'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'water, or to taste'}, {'cantidad': '1', 'unidad': '', 'nombre': 'banana, broken into chunks'}, {'cantidad': '1', 'unidad': '', 'nombre': 'orange, peeled and segmented'}, {'cantidad': '10', 'unidad': '', 'nombre': 'fresh mint leaves, or more to taste'}, {'cantidad': '1', 'unidad': '', 'nombre': 'lemon, juiced'}, {'cantidad': '1', 'unidad': '', 'nombre': 'lime, juiced'}]"
Vegetarian Meatloaf with Vegetables Recipe,"This is a meaty alternative to meat loaf, with vegetables on the side.",4.6,1 hr 30 mins,9,"[{'cantidad': '½', 'unidad': '(14 ounce) package', 'nombre': 'vegetarian ground beef (e.g., Gimme Lean TM)'}, {'cantidad': '1', 'unidad': '(12 ounce) package', 'nombre': 'vegetarian burger crumbles'}, {'cantidad': '1', 'unidad': '', 'nombre': 'onion, chopped'}, {'cantidad': '2', 'unidad': '', 'nombre': 'eggs, beaten'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'vegetarian Worcestershire sauce'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'salt'}, {'cantidad': '⅓', 'unidad': 'teaspoon', 'nombre': 'pepper'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'ground sage'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'garlic powder'}, {'cantidad': '2', 'unidad': 'teaspoons', 'nombre': 'prepared mustard'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'vegetable oil'}, {'cantidad': '3 ½', 'unidad': 'slices', 'nombre': 'bread, cubed'}, {'cantidad': '⅓', 'unidad': 'cup', 'nombre': 'milk'}, {'cantidad': '1', 'unidad': '(8 ounce) can', 'nombre': 'tomato sauce'}, {'cantidad': '4', 'unidad': '', 'nombre': 'carrots, cut into 1 inch pieces'}, {'cantidad': '4', 'unidad': '', 'nombre': 'potatoes, cubed'}, {'cantidad': '1', 'unidad': '', 'nombre': 'cooking spray'}]"
Savory Buttermilk Meatloaf Recipe,"This savory, melt-in-your-mouth meatloaf is topped with a Dijon mustard glaze. I only used onions, but their sweetness, along with the simple brown sugar glaze, was a great contrast to the other flavors.",4.6,1 hr 25 mins,12,"[{'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'butter'}, {'cantidad': '1', 'unidad': 'medium', 'nombre': 'yellow onion, diced'}, {'cantidad': '2 ½', 'unidad': 'pounds', 'nombre': 'ground chuck'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'dry bread crumbs'}, {'cantidad': '¾', 'unidad': 'cup', 'nombre': 'buttermilk'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'ketchup'}, {'cantidad': '2', 'unidad': 'large', 'nombre': 'eggs, beaten'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'Worcestershire sauce'}, {'cantidad': '2 ½', 'unidad': 'teaspoons', 'nombre': 'salt'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'ground black pepper'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'hot sauce'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'dried tarragon'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'Italian seasoning'}]"
Chef John's Succotash,"This may be America's oldest vegetable recipe, coming from a Narragansett Indian word, 'msickquatash,' which, according to the Merriam-Webster Dictionary, means 'boiled corn kernels.' When most of you hear the word succotash, you probably don't think of a delicious vegetable side dish, you probably think of the catchphrase, 'Sufferin' succotash!' But succotash really is a great and very underrated recipe.",4.7,20 mins,6,"[{'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'olive oil'}, {'cantidad': '1 ½', 'unidad': 'teaspoons', 'nombre': 'butter'}, {'cantidad': '½', 'unidad': '', 'nombre': 'yellow onion, diced'}, {'cantidad': '', 'unidad': '', 'nombre': 'salt and freshly ground black pepper to taste'}, {'cantidad': '½', 'unidad': '', 'nombre': 'red bell pepper, diced'}, {'cantidad': '1', 'unidad': '', 'nombre': 'jalapeno pepper, sliced'}, {'cantidad': '3', 'unidad': 'cloves', 'nombre': 'garlic, minced'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'diced tomatoes'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'ground cumin'}, {'cantidad': '1', 'unidad': 'pinch', 'nombre': 'cayenne pepper'}, {'cantidad': '2', 'unidad': '', 'nombre': 'green zucchinis, cut into cubes'}, {'cantidad': '4', 'unidad': 'ounces', 'nombre': 'fresh green beans, cut into 1/2-inch pieces'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'water'}, {'cantidad': '1 ½', 'unidad': 'cups', 'nombre': 'corn'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'frozen baby lima beans, thawed'}]"
Baked Tomato Slices Recipe,Baked tomato slices are a delicious way to top leftover pasta!,4.4,5 mins,2,"[{'cantidad': '', 'unidad': '', 'nombre': '2 tablespoons olive oil, divided, or as needed'}, {'cantidad': '1', 'unidad': 'large', 'nombre': 'tomato, cut into 1/2-inch-thick slices'}, {'cantidad': '1', 'unidad': 'sprig', 'nombre': 'fresh rosemary, leaves stripped and finely chopped'}, {'cantidad': '1', 'unidad': 'clove', 'nombre': 'garlic, minced'}, {'cantidad': '', 'unidad': '', 'nombre': 'salt and ground black pepper to taste'}]"
Yellow Squash and Corn Sauté Recipe,Use summer squash and leftover corn on the cob to make this pretty side dish that’s super tasty.,4.8,25 mins,4,"[{'cantidad': '2', 'unidad': 'ears', 'nombre': 'corn, husked and cleaned'}, {'cantidad': '2', 'unidad': '', 'nombre': 'yellow squash, diced'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'water'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'butter, or more to taste'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'chopped fresh parsley (Optional)'}, {'cantidad': '', 'unidad': '', 'nombre': 'salt and ground black pepper to taste'}]"
Chef John's Chicken Tikka Masala Recipe,"Chicken tikka masala is usually made with heavy cream, but I like to use coconut milk instead; its subtle sweetness works beautifully with the spices in the dish. Serve with steamed rice.",4.8,45 mins,4,"[{'cantidad': '1 ½', 'unidad': 'pounds', 'nombre': 'skinless, boneless chicken thighs'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'vegetable oil'}, {'cantidad': '2', 'unidad': 'teaspoons', 'nombre': 'kosher salt'}, {'cantidad': '2', 'unidad': 'teaspoons', 'nombre': 'garam masala'}, {'cantidad': '2', 'unidad': 'teaspoons', 'nombre': 'ground cumin'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'ground coriander'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'smoked paprika'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'ground turmeric'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'ground black pepper'}, {'cantidad': '¼', 'unidad': 'teaspoon', 'nombre': 'cayenne pepper'}, {'cantidad': '⅛', 'unidad': 'teaspoon', 'nombre': 'ground cardamom'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'clarified butter (ghee), or more as needed'}]"
Simple Baked Chicken Breasts Recipe,"These seasoned baked chicken breasts always turn out tender, juicy, and perfect every time with this easy 5-ingredient recipe. Adding some chicken broth to the delicious pan drippings creates a flavorful sauce to serve with the chicken.",4.7,25 mins,4,"[{'cantidad': '4', 'unidad': '(5 ounce)', 'nombre': 'skinless, boneless chicken breast halves'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'olive oil'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'coarse sea salt, or to taste'}, {'cantidad': '1', 'unidad': 'pinch', 'nombre': ""Creole seasoning (such as Tony Chachere's®), or more to taste""}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'chicken broth or water'}]"
Joy's Easy Banana Bread Recipe,"This banana bread is quick and easy to prepare, and everyone always comes back for seconds!",4.8,1 hr,10,"[{'cantidad': '3', 'unidad': '', 'nombre': 'ripe bananas, mashed'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'white sugar'}, {'cantidad': '1', 'unidad': '', 'nombre': 'egg'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'melted butter'}, {'cantidad': '1 ½', 'unidad': 'cups', 'nombre': 'all-purpose flour'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'baking soda'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'salt'}]"
Grilled Chicken Marinade Recipe,This chicken marinade is the best marinade I know for grilled chicken! It is so flavorful and easy to prep with three main ingredients and simple seasonings. Perfect for any summer occasion!,4.8,10 mins,5,"[{'cantidad': '¼', 'unidad': 'cup', 'nombre': 'red wine vinegar'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'reduced-sodium soy sauce'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'olive oil'}, {'cantidad': '1 ½', 'unidad': 'teaspoons', 'nombre': 'dried parsley flakes'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'dried basil'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'dried oregano'}, {'cantidad': '¼', 'unidad': 'teaspoon', 'nombre': 'garlic powder'}, {'cantidad': '¼', 'unidad': 'teaspoon', 'nombre': 'ground black pepper'}, {'cantidad': '5', 'unidad': '', 'nombre': 'skinless, boneless chicken breasts, thinly sliced'}]"
Skillet Spinach Lasagna Recipe,This skillet spinach lasagna recipe is a quick and easy way to make lasagna.,4.5,35 mins,4,"[{'cantidad': '1', 'unidad': 'pound', 'nombre': 'bulk Italian sausage'}, {'cantidad': '8', 'unidad': '', 'nombre': 'lasagna noodles, broken into pieces'}, {'cantidad': '1', 'unidad': '(28 ounce) can', 'nombre': 'crushed tomatoes'}, {'cantidad': '1', 'unidad': '(8 ounce) can', 'nombre': 'tomato sauce'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'torn fresh spinach'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'ricotta cheese'}, {'cantidad': '4', 'unidad': 'ounces', 'nombre': 'fresh mozzarella cheese, sliced'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'grated Parmesan cheese'}]"
Slow Cooker Chicken Tacos Recipe,"This slow cooker chicken tacos recipe is easy to make with just 3 ingredients for flavorful, super tender, shredded chicken. Spoon the chicken into warm tortillas for a very tasty meal any day of the week.",4.7,6 hrs,8,"[{'cantidad': '1', 'unidad': 'cup', 'nombre': 'chicken broth'}, {'cantidad': '3', 'unidad': 'tablespoons', 'nombre': 'taco seasoning mix'}, {'cantidad': '1', 'unidad': 'pound', 'nombre': 'skinless, boneless chicken breasts'}]"
Greek Lemon Chicken and Potatoes Recipe,"This Greek lemon chicken dish with garlic and roast potatoes is a classic recipe and easy to cook in one roasting pan. The lemony crispy chicken is a proven crowd-pleaser, easy on the wallet, and a favorite of mine.",4.8,50 mins,4,"[{'cantidad': '4', 'unidad': 'pounds', 'nombre': 'skin-on, bone-in chicken thighs'}, {'cantidad': '3', 'unidad': 'medium', 'nombre': 'russet potatoes, peeled and quartered'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'freshly squeezed lemon juice'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'Greek olive oil'}, {'cantidad': '6', 'unidad': 'cloves', 'nombre': 'garlic, minced'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'dried oregano'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'kosher salt'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'dried rosemary'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'freshly ground black pepper'}, {'cantidad': '1', 'unidad': 'pinch', 'nombre': 'cayenne pepper'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'chicken broth, divided'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'chopped fresh oregano, or to taste'}]"
Makhani Chicken (Indian Butter Chicken) Recipe,"This fragrant, spicy Indian butter chicken recipe with yogurt marinade is from the owner of India Cuisine restaurant in Seattle, Washington. Serve with hot Indian bread.",4.5,35 mins,6,"[{'cantidad': '1 ¾', 'unidad': 'pounds', 'nombre': 'skinless, boneless chicken breast halves - cubed'}, {'cantidad': '3', 'unidad': 'tablespoons', 'nombre': 'lemon juice, divided'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'chili powder, divided'}, {'cantidad': '', 'unidad': '', 'nombre': 'salt to taste'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'yogurt'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'olive oil'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'garlic paste'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'ginger paste'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'melted butter'}, {'cantidad': '1 ½', 'unidad': 'teaspoons', 'nombre': 'garam masala'}]"
Chocolate Peanut Butter Banana Smoothies,"A smoothie recipe made with chocolate pudding, ripe bananas and creamy peanut butter for an indulgent treat.",4.8,Sin tiempo de cocción,4,"[{'cantidad': '2', 'unidad': '(3.25 ounce) cups', 'nombre': 'Snack Pack® Chocolate Pudding'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'Peter Pan® Creamy Peanut Butter'}, {'cantidad': '2', 'unidad': 'large', 'nombre': 'ripe bananas, cut into pieces'}, {'cantidad': '¾', 'unidad': 'cup', 'nombre': 'reduced fat (2%) milk'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'ice cubes'}, {'cantidad': '', 'unidad': '', 'nombre': 'Reddi-wip® Chocolate Dairy Whipped Topping'}]"
Cheesy Sausage Lasagna Soup Recipe,This is a great hearty lasagna soup recipe. It tastes just like lasagna in a bowl. Serve it with warm crusty bread for a perfect winter meal.,4.7,20 mins,6,"[{'cantidad': '1', 'unidad': 'pound', 'nombre': 'Italian turkey sausage, casings removed'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'chopped onions'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'sliced fresh mushrooms'}, {'cantidad': '4', 'unidad': 'cloves', 'nombre': 'garlic, minced'}, {'cantidad': '4', 'unidad': 'cups', 'nombre': 'chicken broth'}, {'cantidad': '1', 'unidad': '(15 ounce) can', 'nombre': 'tomato sauce'}, {'cantidad': '1', 'unidad': '(14.5 ounce) can', 'nombre': 'Italian-seasoned diced tomatoes'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'uncooked mafalda pasta'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'chopped fresh spinach'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'shredded mozzarella cheese'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'Parmesan cheese'}, {'cantidad': '4', 'unidad': 'teaspoons', 'nombre': 'thinly sliced fresh basil'}]"
Spicy Thai Basil Chicken (Pad Krapow Gai) Recipe,My version of this classic Thai dish has spectacular taste even with regular basil instead of Thai or holy basil. The sauce actually acts like a glaze as the chicken mixture cooks over high heat. The recipe works best if you chop or grind your own chicken and have all ingredients prepped before you start cooking.,4.8,10 mins,2,"[{'cantidad': '⅓', 'unidad': 'cup', 'nombre': 'chicken broth'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'oyster sauce'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'soy sauce, or as needed'}, {'cantidad': '2', 'unidad': 'teaspoons', 'nombre': 'fish sauce'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'white sugar'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'brown sugar'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'vegetable oil'}, {'cantidad': '1', 'unidad': 'pound', 'nombre': 'skinless, boneless chicken thighs, coarsely chopped'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'sliced shallots'}, {'cantidad': '4', 'unidad': 'cloves', 'nombre': 'garlic, minced'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'minced Thai chilies, Serrano, or other hot pepper'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'very thinly sliced fresh basil leaves'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'hot cooked rice'}]"
Zucchini Lasagna Recipe,This low-carb lasagna is made with zucchini slices instead of lasagna noodles for a hearty and satisfying gluten-free beef lasagna. It's delicious and a real crowd-pleaser!,4.9,1 hr,6,"[{'cantidad': '', 'unidad': '', 'nombre': 'cooking spray'}, {'cantidad': '1 ½', 'unidad': 'large', 'nombre': 'zucchinis, thinly sliced lengthwise'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'olive oil'}, {'cantidad': '1', 'unidad': 'pound', 'nombre': 'ground beef'}, {'cantidad': '1 ½', 'unidad': 'cups', 'nombre': 'low-carb marinara sauce'}, {'cantidad': '2', 'unidad': 'teaspoons', 'nombre': 'salt, divided'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'dried oregano'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'ground black pepper'}, {'cantidad': '1', 'unidad': '(8 ounce) container', 'nombre': 'ricotta cheese'}, {'cantidad': '1', 'unidad': 'large', 'nombre': 'egg'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'ground nutmeg'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'shredded mozzarella cheese'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'grated Parmesan cheese'}, {'cantidad': '', 'unidad': '', 'nombre': 'aluminum foil'}]"
Instant Pot Meatloaf Recipe,This Instant Pot meatloaf is quick to prepare and delicious. It's made a little sweet with apple.,4.6,40 mins,8,"[{'cantidad': '2', 'unidad': 'pounds', 'nombre': 'ground beef'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'dry bread crumbs'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'diced onion'}, {'cantidad': '½', 'unidad': '', 'nombre': 'apple - peeled, cored, and diced'}, {'cantidad': '1', 'unidad': '', 'nombre': 'egg'}, {'cantidad': '2', 'unidad': 'teaspoons', 'nombre': 'garlic powder'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'salt'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'ground black pepper'}]"
Air Fryer Meatloaf Recipe,This juicy air fryer meatloaf with a tangy glaze is easy to make in a fraction of the time compared to cooking a meatloaf in the oven. Serve with mashed potatoes for a comforting meal.,4.7,20 mins,4,"[{'cantidad': '1/4', 'unidad': 'cup', 'nombre': 'bread crumbs'}, {'cantidad': '1/4', 'unidad': 'cup', 'nombre': 'whole milk'}, {'cantidad': '1', 'unidad': 'pound', 'nombre': 'ground round (85/15)'}, {'cantidad': '1/2', 'unidad': 'cup', 'nombre': 'finely chopped yellow onion'}, {'cantidad': '1', 'unidad': 'large', 'nombre': 'egg, lightly beaten'}, {'cantidad': '2', 'unidad': 'teaspoons', 'nombre': 'chopped fresh thyme, plus more for garnish'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'kosher salt'}, {'cantidad': '1/4', 'unidad': 'teaspoon', 'nombre': 'ground black pepper'}]"
Never Fail Meatloaf Recipe,I have fine-tuned this never-fail meatloaf recipe for our family. It's the easiest and one of the best-tasting!,4.3,1 hr 30 mins,8,"[{'cantidad': '2 ½', 'unidad': 'pounds', 'nombre': 'ground beef'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'hickory smoke-flavored barbecue sauce, divided'}, {'cantidad': '1', 'unidad': '', 'nombre': 'onion, finely chopped'}, {'cantidad': '1', 'unidad': '(6 ounce) package', 'nombre': 'herb-seasoned dry bread stuffing mix'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'milk'}, {'cantidad': '3', 'unidad': '', 'nombre': 'eggs, beaten'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'minced garlic'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'packed brown sugar'}]"
Instant Pot Lasagna Soup Recipe,"Try lasagna soup in the Instant Pot for a new twist on an old favorite. Ever wonder what to do with that last little bit of marinara sauce or those broken lasagna noodles? Well, this recipe has you covered with a soup that has all of the flavors of lasagna without all of the hours in the kitchen. I've made it with fairly simple ingredients but feel free to add ground fennel seeds or herbs.",4.8,30 mins,4,"[{'cantidad': '1', 'unidad': '(4 ounce)', 'nombre': 'mild Italian sausage link, casing removed'}, {'cantidad': '1', 'unidad': 'pound', 'nombre': 'ground sirloin'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'olive oil'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'finely chopped onion'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'garlic, minced'}, {'cantidad': '1', 'unidad': '(32 ounce) can', 'nombre': 'low-sodium chicken broth'}, {'cantidad': '24', 'unidad': 'ounces', 'nombre': 'marinara sauce'}, {'cantidad': '8', 'unidad': '', 'nombre': 'lasagna noodles, broken into pieces'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'salt'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'freshly ground black pepper'}, {'cantidad': '6', 'unidad': 'teaspoons', 'nombre': 'grated Parmesan cheese'}]"
